"e","package Spring.web;

import org.springframework.boot.SpringApplication;
import org.springframework.boot.autoconfigure.SpringBootApplication;

@SpringBootApplication
public class HelloWorldSpringIntellijApplication {

	public static void main(String[] args) {
		SpringApplication.run(HelloWorldSpringIntellijApplication.class, args);
	}

}
","","0","1631552760606","HelloWorldSpringIntellijApplication.java"
"e","package Spring.web;

import Spring.domain.Pessoa;
import lombok.extern.slf4j.Slf4j;
import org.springframework.beans.factory.annotation.Value;
import org.springframework.stereotype.Controller;
import org.springframework.ui.Model;
import org.springframework.web.bind.annotation.GetMapping;

import java.util.ArrayList;
import java.util.List;

@Controller
@Slf4j
public class PrimeiroControlador {

    @Value(""${index.saudacao}"")
    private String saudacao;

        @GetMapping(""/"")
        public String helloWorld(Model model)
        {   //logs
            log.info(""Executando o controlador"");
            log.debug(""Mais detalhes do controlador"");
            //atributos do model: passados via protocolo get
                //Objetos pessoa:
                Pessoa pessoa = new Pessoa();
                pessoa.setNome(""Luiz"");
                pessoa.setSobrenome(""Gadelha"");
                pessoa.setEmail(""email@email.com"");
                pessoa.setTelefone(""123456789"");
                Pessoa pessoa2 = new Pessoa();
                pessoa2.setNome(""Luiz"");
                pessoa2.setSobrenome(""Gadelha"");
                pessoa2.setEmail(""email@email.com"");
                pessoa2.setTelefone(""123456789"");
                String mensagem = ""Hello com thymeleaf"";
                //Lista de pessoas
                List<Pessoa> pessoas = new ArrayList<Pessoa>();
                pessoas.add(pessoa);
                pessoas.add(pessoa2);
            //adicionando atributos ao objeto model
            model.addAttribute(""mensagem"", mensagem);
            model.addAttribute(""saudacao"",saudacao);
            model.addAttribute(""pessoa"",pessoa);
            model.addAttribute(""pessoa2"",pessoa2);
            model.addAttribute(""pessoas"", pessoas);




            return ""index"";
        }
}
","","0","1631552781262","PrimeiroControlador.java"
"a","Enter",,,"1631553058928","PrimeiroControlador.java"
"e","
","","397","1631553058939","PrimeiroControlador.java"
"e","    ","","397","1631553058946","PrimeiroControlador.java"
"e","@","","401","1631553060486","PrimeiroControlador.java"
"k","@",,"402","1631553060487","PrimeiroControlador.java"
"e","A","","402","1631553060879","PrimeiroControlador.java"
"k","A",,"403","1631553060894","PrimeiroControlador.java"
"e","u","","403","1631553061273","PrimeiroControlador.java"
"k","u",,"404","1631553061277","PrimeiroControlador.java"
"e","t","","404","1631553061380","PrimeiroControlador.java"
"k","t",,"405","1631553061386","PrimeiroControlador.java"
"e","o","","405","1631553061581","PrimeiroControlador.java"
"k","o",,"406","1631553061587","PrimeiroControlador.java"
